==========================================
视语灵枢项目 - 自动化训练日志启动
启动时间: 2026-05-08 16:17:57
日志保存至: logs/train_20260508_1617.log
==========================================

检测到断点，从 Epoch 5 继续炼丹...

[16:19:39] Epoch 5 | Step 1800/18850 | Loss: 5.1612
[16:19:40] Epoch 5 | Step 1820/18850 | Loss: 5.1267
[16:19:41] Epoch 5 | Step 1840/18850 | Loss: 5.3644
[16:19:43] Epoch 5 | Step 1860/18850 | Loss: 4.2025
[16:19:44] Epoch 5 | Step 1880/18850 | Loss: 5.3593
[16:19:45] Epoch 5 | Step 1900/18850 | Loss: 5.4525
[16:19:46] Epoch 5 | Step 1920/18850 | Loss: 5.2385
[16:19:47] Epoch 5 | Step 1940/18850 | Loss: 5.2176
[16:19:48] Epoch 5 | Step 1960/18850 | Loss: 5.3435
[16:19:49] Epoch 5 | Step 1980/18850 | Loss: 5.0787
[16:19:50] Epoch 5 | Step 2000/18850 | Loss: 4.9563
[16:19:51] Epoch 5 | Step 2020/18850 | Loss: 5.0429
[16:19:52] Epoch 5 | Step 2040/18850 | Loss: 5.2823
[16:19:54] Epoch 5 | Step 2060/18850 | Loss: 5.2386
[16:19:55] Epoch 5 | Step 2080/18850 | Loss: 5.1382
[16:19:56] Epoch 5 | Step 2100/18850 | Loss: 5.2705
[16:19:57] Epoch 5 | Step 2120/18850 | Loss: 4.9415
[16:19:58] Epoch 5 | Step 2140/18850 | Loss: 4.4410
[16:19:59] Epoch 5 | Step 2160/18850 | Loss: 5.1720
[16:20:00] Epoch 5 | Step 2180/18850 | Loss: 5.0503
[16:20:01] Epoch 5 | Step 2200/18850 | Loss: 5.1637
[16:20:02] Epoch 5 | Step 2220/18850 | Loss: 5.0697
[16:20:04] Epoch 5 | Step 2240/18850 | Loss: 5.2696
[16:20:05] Epoch 5 | Step 2260/18850 | Loss: 5.7151
[16:20:06] Epoch 5 | Step 2280/18850 | Loss: 4.9081
[16:20:07] Epoch 5 | Step 2300/18850 | Loss: 4.8469
[16:20:08] Epoch 5 | Step 2320/18850 | Loss: 4.8525
[16:20:09] Epoch 5 | Step 2340/18850 | Loss: 5.3555
[16:20:10] Epoch 5 | Step 2360/18850 | Loss: 5.0855
[16:20:11] Epoch 5 | Step 2380/18850 | Loss: 5.0740
[16:20:12] Epoch 5 | Step 2400/18850 | Loss: 5.2319
[16:20:13] Epoch 5 | Step 2420/18850 | Loss: 5.1000
[16:20:14] Epoch 5 | Step 2440/18850 | Loss: 5.3206
[16:20:15] Epoch 5 | Step 2460/18850 | Loss: 5.2737
[16:20:16] Epoch 5 | Step 2480/18850 | Loss: 4.9116
[16:20:18] Epoch 5 | Step 2500/18850 | Loss: 5.7028
[16:20:19] Epoch 5 | Step 2520/18850 | Loss: 5.4376
[16:20:20] Epoch 5 | Step 2540/18850 | Loss: 5.5767
[16:20:21] Epoch 5 | Step 2560/18850 | Loss: 5.4064
[16:20:22] Epoch 5 | Step 2580/18850 | Loss: 5.1703
[16:20:23] Epoch 5 | Step 2600/18850 | Loss: 4.7670
[16:20:24] Epoch 5 | Step 2620/18850 | Loss: 5.7356
[16:20:25] Epoch 5 | Step 2640/18850 | Loss: 5.1360
[16:20:26] Epoch 5 | Step 2660/18850 | Loss: 5.0035
[16:20:27] Epoch 5 | Step 2680/18850 | Loss: 4.7310
[16:20:29] Epoch 5 | Step 2700/18850 | Loss: 5.0481
[16:20:30] Epoch 5 | Step 2720/18850 | Loss: 5.4661
[16:20:31] Epoch 5 | Step 2740/18850 | Loss: 5.5584
[16:20:32] Epoch 5 | Step 2760/18850 | Loss: 5.0745
[16:20:33] Epoch 5 | Step 2780/18850 | Loss: 5.4350
[16:20:34] Epoch 5 | Step 2800/18850 | Loss: 5.7847
[16:20:35] Epoch 5 | Step 2820/18850 | Loss: 5.2582
[16:20:36] Epoch 5 | Step 2840/18850 | Loss: 5.2244
[16:20:37] Epoch 5 | Step 2860/18850 | Loss: 5.3881
[16:20:38] Epoch 5 | Step 2880/18850 | Loss: 4.9159
[16:20:39] Epoch 5 | Step 2900/18850 | Loss: 5.0882
[16:20:41] Epoch 5 | Step 2920/18850 | Loss: 5.3743
[16:20:42] Epoch 5 | Step 2940/18850 | Loss: 5.7050
[16:20:43] Epoch 5 | Step 2960/18850 | Loss: 5.2925
[16:20:44] Epoch 5 | Step 2980/18850 | Loss: 5.0176
[16:20:45] Epoch 5 | Step 3000/18850 | Loss: 5.5107
[16:20:46] Epoch 5 | Step 3020/18850 | Loss: 5.2290
[16:20:47] Epoch 5 | Step 3040/18850 | Loss: 4.8077
[16:20:48] Epoch 5 | Step 3060/18850 | Loss: 5.3114
[16:20:49] Epoch 5 | Step 3080/18850 | Loss: 5.1011
[16:20:51] Epoch 5 | Step 3100/18850 | Loss: 4.8258
[16:20:52] Epoch 5 | Step 3120/18850 | Loss: 5.4008
[16:20:53] Epoch 5 | Step 3140/18850 | Loss: 5.4219
[16:20:54] Epoch 5 | Step 3160/18850 | Loss: 5.1954
[16:20:55] Epoch 5 | Step 3180/18850 | Loss: 4.9226
[16:20:56] Epoch 5 | Step 3200/18850 | Loss: 5.1595
[16:20:57] Epoch 5 | Step 3220/18850 | Loss: 5.8678
[16:20:58] Epoch 5 | Step 3240/18850 | Loss: 5.0316
[16:20:59] Epoch 5 | Step 3260/18850 | Loss: 5.1971
[16:21:00] Epoch 5 | Step 3280/18850 | Loss: 5.5912
[16:21:02] Epoch 5 | Step 3300/18850 | Loss: 5.1192
[16:21:03] Epoch 5 | Step 3320/18850 | Loss: 5.4564
[16:21:04] Epoch 5 | Step 3340/18850 | Loss: 4.8785
[16:21:05] Epoch 5 | Step 3360/18850 | Loss: 5.1448
[16:21:06] Epoch 5 | Step 3380/18850 | Loss: 5.2763
[16:21:07] Epoch 5 | Step 3400/18850 | Loss: 5.0292
[16:21:08] Epoch 5 | Step 3420/18850 | Loss: 5.3232
[16:21:09] Epoch 5 | Step 3440/18850 | Loss: 4.9550
[16:21:10] Epoch 5 | Step 3460/18850 | Loss: 5.1656
[16:21:11] Epoch 5 | Step 3480/18850 | Loss: 5.2216
[16:21:12] Epoch 5 | Step 3500/18850 | Loss: 5.3659
[16:21:13] Epoch 5 | Step 3520/18850 | Loss: 5.5423
[16:21:14] Epoch 5 | Step 3540/18850 | Loss: 5.8520
[16:21:15] Epoch 5 | Step 3560/18850 | Loss: 5.2893
[16:21:17] Epoch 5 | Step 3580/18850 | Loss: 5.3959
[16:21:18] Epoch 5 | Step 3600/18850 | Loss: 5.8558
[16:21:19] Epoch 5 | Step 3620/18850 | Loss: 5.5072
[16:21:20] Epoch 5 | Step 3640/18850 | Loss: 5.2094
[16:21:21] Epoch 5 | Step 3660/18850 | Loss: 5.1822
[16:21:22] Epoch 5 | Step 3680/18850 | Loss: 4.9368
[16:21:23] Epoch 5 | Step 3700/18850 | Loss: 5.5352
[16:21:24] Epoch 5 | Step 3720/18850 | Loss: 5.3026
[16:21:25] Epoch 5 | Step 3740/18850 | Loss: 4.9224
[16:21:26] Epoch 5 | Step 3760/18850 | Loss: 5.5020
[16:21:28] Epoch 5 | Step 3780/18850 | Loss: 5.3091
