==========================================
视语灵枢项目 - 自动化训练日志启动
启动时间: 2026-05-09 14:41:01
日志保存至: logs/train_20260509_1441.log
==========================================

检测到断点，从 Epoch 50 继续炼丹...

[14:41:06] Epoch 50 | Step 0/9425 | Loss: 6.4267
[14:41:09] Epoch 50 | Step 30/9425 | Loss: 5.9647
[14:41:11] Epoch 50 | Step 60/9425 | Loss: 6.2552
[14:41:14] Epoch 50 | Step 90/9425 | Loss: 6.0667
[14:41:16] Epoch 50 | Step 120/9425 | Loss: 5.8825
[14:41:19] Epoch 50 | Step 150/9425 | Loss: 6.0220
[14:41:21] Epoch 50 | Step 180/9425 | Loss: 5.6257
[14:41:24] Epoch 50 | Step 210/9425 | Loss: 5.9540
[14:41:26] Epoch 50 | Step 240/9425 | Loss: 5.8412
[14:41:29] Epoch 50 | Step 270/9425 | Loss: 5.5806
[14:41:31] Epoch 50 | Step 300/9425 | Loss: 5.7480
[14:41:33] Epoch 50 | Step 330/9425 | Loss: 5.7110
[14:41:36] Epoch 50 | Step 360/9425 | Loss: 5.9077
[14:41:38] Epoch 50 | Step 390/9425 | Loss: 5.5084
[14:41:41] Epoch 50 | Step 420/9425 | Loss: 5.4230
[14:41:43] Epoch 50 | Step 450/9425 | Loss: 5.8129
[14:41:46] Epoch 50 | Step 480/9425 | Loss: 5.5211
[14:41:48] Epoch 50 | Step 510/9425 | Loss: 5.4739
[14:41:51] Epoch 50 | Step 540/9425 | Loss: 5.9496
[14:41:53] Epoch 50 | Step 570/9425 | Loss: 5.5007
[14:41:56] Epoch 50 | Step 600/9425 | Loss: 5.6606
[14:41:58] Epoch 50 | Step 630/9425 | Loss: 5.5073
[14:42:01] Epoch 50 | Step 660/9425 | Loss: 5.6466
[14:42:04] Epoch 50 | Step 690/9425 | Loss: 5.9061
[14:42:06] Epoch 50 | Step 720/9425 | Loss: 5.4155
[14:42:09] Epoch 50 | Step 750/9425 | Loss: 5.6315
[14:42:11] Epoch 50 | Step 780/9425 | Loss: 5.2372
[14:42:13] Epoch 50 | Step 810/9425 | Loss: 5.5224
[14:42:16] Epoch 50 | Step 840/9425 | Loss: 5.4475
[14:42:18] Epoch 50 | Step 870/9425 | Loss: 5.4011
[14:42:21] Epoch 50 | Step 900/9425 | Loss: 5.9185
[14:42:23] Epoch 50 | Step 930/9425 | Loss: 5.3187
[14:42:26] Epoch 50 | Step 960/9425 | Loss: 5.5903
[14:42:29] Epoch 50 | Step 990/9425 | Loss: 5.3623
[14:42:31] Epoch 50 | Step 1020/9425 | Loss: 5.4935
[14:42:34] Epoch 50 | Step 1050/9425 | Loss: 5.5158
[14:42:36] Epoch 50 | Step 1080/9425 | Loss: 5.3584
[14:42:39] Epoch 50 | Step 1110/9425 | Loss: 5.9618
[14:42:41] Epoch 50 | Step 1140/9425 | Loss: 5.2812
[14:42:44] Epoch 50 | Step 1170/9425 | Loss: 5.1809
[14:42:46] Epoch 50 | Step 1200/9425 | Loss: 5.3915
[14:42:49] Epoch 50 | Step 1230/9425 | Loss: 5.4771
[14:42:51] Epoch 50 | Step 1260/9425 | Loss: 5.2183
[14:42:54] Epoch 50 | Step 1290/9425 | Loss: 5.6131
[14:42:57] Epoch 50 | Step 1320/9425 | Loss: 5.1650
[14:42:59] Epoch 50 | Step 1350/9425 | Loss: 5.4632
[14:43:01] Epoch 50 | Step 1380/9425 | Loss: 5.2567
[14:43:04] Epoch 50 | Step 1410/9425 | Loss: 5.4381
[14:43:06] Epoch 50 | Step 1440/9425 | Loss: 5.6252
[14:43:09] Epoch 50 | Step 1470/9425 | Loss: 5.5864
[14:43:12] Epoch 50 | Step 1500/9425 | Loss: 5.6641
[14:43:14] Epoch 50 | Step 1530/9425 | Loss: 5.5560
[14:43:17] Epoch 50 | Step 1560/9425 | Loss: 5.2276
[14:43:19] Epoch 50 | Step 1590/9425 | Loss: 5.3727
[14:43:22] Epoch 50 | Step 1620/9425 | Loss: 5.9012
[14:43:24] Epoch 50 | Step 1650/9425 | Loss: 5.2780
[14:43:27] Epoch 50 | Step 1680/9425 | Loss: 5.4812
[14:43:29] Epoch 50 | Step 1710/9425 | Loss: 5.1609
[14:43:32] Epoch 50 | Step 1740/9425 | Loss: 5.4714
[14:43:34] Epoch 50 | Step 1770/9425 | Loss: 5.7483
[14:43:37] Epoch 50 | Step 1800/9425 | Loss: 5.2040
[14:43:39] Epoch 50 | Step 1830/9425 | Loss: 5.2573
[14:43:42] Epoch 50 | Step 1860/9425 | Loss: 5.2569
[14:43:44] Epoch 50 | Step 1890/9425 | Loss: 5.5158
[14:43:47] Epoch 50 | Step 1920/9425 | Loss: 5.4654
[14:43:49] Epoch 50 | Step 1950/9425 | Loss: 5.4306
[14:43:52] Epoch 50 | Step 1980/9425 | Loss: 5.3698
[14:43:54] Epoch 50 | Step 2010/9425 | Loss: 5.6774
[14:43:57] Epoch 50 | Step 2040/9425 | Loss: 5.4383
[14:43:59] Epoch 50 | Step 2070/9425 | Loss: 5.3900
[14:44:02] Epoch 50 | Step 2100/9425 | Loss: 5.7204
[14:44:04] Epoch 50 | Step 2130/9425 | Loss: 5.6522
[14:44:07] Epoch 50 | Step 2160/9425 | Loss: 5.5191
[14:44:09] Epoch 50 | Step 2190/9425 | Loss: 5.7219
[14:44:12] Epoch 50 | Step 2220/9425 | Loss: 5.4193
[14:44:14] Epoch 50 | Step 2250/9425 | Loss: 5.4056
[14:44:17] Epoch 50 | Step 2280/9425 | Loss: 5.0658
[14:44:19] Epoch 50 | Step 2310/9425 | Loss: 5.4804
[14:44:22] Epoch 50 | Step 2340/9425 | Loss: 5.4636
[14:44:24] Epoch 50 | Step 2370/9425 | Loss: 5.6428
[14:44:27] Epoch 50 | Step 2400/9425 | Loss: 5.3162
[14:44:29] Epoch 50 | Step 2430/9425 | Loss: 5.2149
[14:44:32] Epoch 50 | Step 2460/9425 | Loss: 5.8118
[14:44:34] Epoch 50 | Step 2490/9425 | Loss: 5.4201
[14:44:37] Epoch 50 | Step 2520/9425 | Loss: 5.1516
[14:44:39] Epoch 50 | Step 2550/9425 | Loss: 5.3187
[14:44:42] Epoch 50 | Step 2580/9425 | Loss: 5.4835
[14:44:44] Epoch 50 | Step 2610/9425 | Loss: 5.4422
[14:44:47] Epoch 50 | Step 2640/9425 | Loss: 5.5506
[14:44:49] Epoch 50 | Step 2670/9425 | Loss: 5.9132
[14:44:52] Epoch 50 | Step 2700/9425 | Loss: 5.3324
[14:44:54] Epoch 50 | Step 2730/9425 | Loss: 5.2174
[14:44:57] Epoch 50 | Step 2760/9425 | Loss: 5.1439
[14:44:59] Epoch 50 | Step 2790/9425 | Loss: 5.4237
[14:45:02] Epoch 50 | Step 2820/9425 | Loss: 5.3833
[14:45:04] Epoch 50 | Step 2850/9425 | Loss: 5.5725
[14:45:07] Epoch 50 | Step 2880/9425 | Loss: 5.4773
[14:45:09] Epoch 50 | Step 2910/9425 | Loss: 5.3268
[14:45:12] Epoch 50 | Step 2940/9425 | Loss: 5.3316
[14:45:15] Epoch 50 | Step 2970/9425 | Loss: 5.1608
[14:45:17] Epoch 50 | Step 3000/9425 | Loss: 5.5930
[14:45:20] Epoch 50 | Step 3030/9425 | Loss: 5.4375
[14:45:22] Epoch 50 | Step 3060/9425 | Loss: 5.0887
[14:45:25] Epoch 50 | Step 3090/9425 | Loss: 5.2214
[14:45:27] Epoch 50 | Step 3120/9425 | Loss: 5.6885
[14:45:30] Epoch 50 | Step 3150/9425 | Loss: 4.8929
[14:45:32] Epoch 50 | Step 3180/9425 | Loss: 5.0099
[14:45:35] Epoch 50 | Step 3210/9425 | Loss: 5.1352
[14:45:37] Epoch 50 | Step 3240/9425 | Loss: 5.2402
[14:45:40] Epoch 50 | Step 3270/9425 | Loss: 5.4505
[14:45:42] Epoch 50 | Step 3300/9425 | Loss: 5.4259
[14:45:45] Epoch 50 | Step 3330/9425 | Loss: 5.3382
[14:45:47] Epoch 50 | Step 3360/9425 | Loss: 5.6674
[14:45:49] Epoch 50 | Step 3390/9425 | Loss: 5.3472
[14:45:52] Epoch 50 | Step 3420/9425 | Loss: 5.3981
[14:45:54] Epoch 50 | Step 3450/9425 | Loss: 5.2129
[14:45:57] Epoch 50 | Step 3480/9425 | Loss: 5.3047
[14:45:59] Epoch 50 | Step 3510/9425 | Loss: 5.3744
[14:46:02] Epoch 50 | Step 3540/9425 | Loss: 5.0947
[14:46:04] Epoch 50 | Step 3570/9425 | Loss: 5.0567
[14:46:07] Epoch 50 | Step 3600/9425 | Loss: 5.4539
[14:46:09] Epoch 50 | Step 3630/9425 | Loss: 5.2374
[14:46:12] Epoch 50 | Step 3660/9425 | Loss: 5.2454
[14:46:14] Epoch 50 | Step 3690/9425 | Loss: 5.4348
[14:46:17] Epoch 50 | Step 3720/9425 | Loss: 5.4456
[14:46:19] Epoch 50 | Step 3750/9425 | Loss: 5.3934
[14:46:22] Epoch 50 | Step 3780/9425 | Loss: 5.0130
[14:46:24] Epoch 50 | Step 3810/9425 | Loss: 5.4852
[14:46:27] Epoch 50 | Step 3840/9425 | Loss: 5.1521
[14:46:29] Epoch 50 | Step 3870/9425 | Loss: 4.9859
[14:46:31] Epoch 50 | Step 3900/9425 | Loss: 4.7854
[14:46:34] Epoch 50 | Step 3930/9425 | Loss: 4.9975
[14:46:36] Epoch 50 | Step 3960/9425 | Loss: 5.0010
[14:46:39] Epoch 50 | Step 3990/9425 | Loss: 5.3578
[14:46:41] Epoch 50 | Step 4020/9425 | Loss: 5.4705
[14:46:44] Epoch 50 | Step 4050/9425 | Loss: 5.0207
[14:46:46] Epoch 50 | Step 4080/9425 | Loss: 5.5925
[14:46:49] Epoch 50 | Step 4110/9425 | Loss: 5.3355
[14:46:51] Epoch 50 | Step 4140/9425 | Loss: 5.3498
[14:46:54] Epoch 50 | Step 4170/9425 | Loss: 5.0793
[14:46:56] Epoch 50 | Step 4200/9425 | Loss: 5.4062
[14:46:59] Epoch 50 | Step 4230/9425 | Loss: 4.7877
[14:47:01] Epoch 50 | Step 4260/9425 | Loss: 4.9488
[14:47:04] Epoch 50 | Step 4290/9425 | Loss: 5.0584
[14:47:07] Epoch 50 | Step 4320/9425 | Loss: 5.2207
[14:47:09] Epoch 50 | Step 4350/9425 | Loss: 5.2090
[14:47:12] Epoch 50 | Step 4380/9425 | Loss: 5.1188
[14:47:14] Epoch 50 | Step 4410/9425 | Loss: 5.0847
[14:47:17] Epoch 50 | Step 4440/9425 | Loss: 5.5075
[14:47:19] Epoch 50 | Step 4470/9425 | Loss: 4.7598
[14:47:21] Epoch 50 | Step 4500/9425 | Loss: 5.5986
[14:47:24] Epoch 50 | Step 4530/9425 | Loss: 5.1054
[14:47:27] Epoch 50 | Step 4560/9425 | Loss: 5.2930
[14:47:29] Epoch 50 | Step 4590/9425 | Loss: 5.2666
[14:47:32] Epoch 50 | Step 4620/9425 | Loss: 5.0923
[14:47:34] Epoch 50 | Step 4650/9425 | Loss: 4.7685
[14:47:36] Epoch 50 | Step 4680/9425 | Loss: 5.3286
[14:47:39] Epoch 50 | Step 4710/9425 | Loss: 4.9712
[14:47:41] Epoch 50 | Step 4740/9425 | Loss: 4.8949
[14:47:44] Epoch 50 | Step 4770/9425 | Loss: 5.4262
[14:47:46] Epoch 50 | Step 4800/9425 | Loss: 4.8594
